,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
231,Sonata in Flat B Major K570 Mvt.2,降B大调奏鸣曲 第二章,降B大調奏鳴曲 第二章,Sonata in Flat B Major K570 Mvt.2,Sonata in Flat B Major K570 Mvt.2,Соната Си-бемоль K570 Mvt.2,Sonata in Flat B Major K570 Mvt.2,Sonata in Flat B Major K570 Mvt.2,소나타 B♭장조 K570 Mvt.2,Sonata in Flat B Major K570 Mvt.2,Sonata in Flat B Major K570 Mvt.2,Sonata in Flat B Major K570 Mvt.2,Sonata in Flat B Major K570 Mvt.2,Sonata in Flat B Major K570 Mvt.2,Sonata in Flat B Major K570 Mvt.2,
232,Suite HWV 442 G major Chaconne,恰空 HWV 442,恰空 HWV 442,Suite HWV 442 G major Chaconne,Suite HWV 442 G major Chaconne,Suite HWV 442 Чакона,Suite HWV 442 G major Chaconne,Suite HWV 442 G major Chaconne,모음곡 HWV 442 G장조 샤콘느,Suite HWV 442 G major Chaconne,Suite HWV 442 G major Chaconne,Suite HWV 442 G major Chaconne,Suite HWV 442 G major Chaconne,Suite HWV 442 G major Chaconne,Suite HWV 442 G major Chaconne,
233,Sonata in D Major K284 Mvt.3,D大调奏鸣曲 K284 第三章,D大調奏鳴曲 K284 第三章,Sonata in D Major K284 Mvt.3,Sonata in D Major K284 Mvt.3,Соната ре мажор K284 Mvt.3,Sonata in D Major K284 Mvt.3,Sonata in D Major K284 Mvt.3,소나타 D장조 K284 Mvt.3,Sonata in D Major K284 Mvt.3,Sonata in D Major K284 Mvt.3,Sonata in D Major K284 Mvt.3,Mvt.3 K284 سوناتا في سلم ري الكبير,Sonata in D Major K284 Mvt.3,Sonata in D Major K284 Mvt.3,
234,Derniere Pensee Musicale,最后的思念,最後的思念,Derniere Pensee Musicale,Derniere Pensee Musicale,Мюзикл Derniere Pensee,Derniere Pensee Musicale,Derniere Pensee Musicale,Derniere Pensee Musicale,Derniere Pensee Musicale,Derniere Pensee Musicale,Derniere Pensee Musicale,Derniere Pensee Musicale,Derniere Pensee Musicale,Derniere Pensee Musicale,
235,La Cinquantaine,金婚曲,金婚曲,La Cinquantaine,La Cinquantaine,La Cinquantaine,La Cinquantaine,La Cinquantaine,금혼식,La Cinquantaine,La Cinquantaine,La Cinquantaine,الخمسينات,La Cinquantaine,La Cinquantaine,
236,Suite in D minor HWV 448 Courante,库朗特HWV 448,D小調組曲HWV 448,Suite in D minor HWV 448 Courante,Suite in D minor HWV 448 Courante,Suite in D minor HWV 448 Courante,Suite in D minor HWV 448 Courante,Suite in D minor HWV 448 Courante,모음곡D단조HWV 448쿠랑트,Suite in D minor HWV 448 Courante,Suite in D minor HWV 448 Courante,Suite in D minor HWV 448 Courante,Suite in D minor HWV 448 Courante,Suite in D minor,Suite in D minor HWV 448 Courante,
237,Waltz Op.64 No.3 in A Flat,圆舞曲Op.64 No.3,圓舞曲Op.64 No.3,Waltz Op.64 No.3 in A Flat,Waltz Op.64 No.3 in A Flat,Вальс соч. 64 № 3 A Flat,Waltz Op.64 No.3 in A Flat,Waltz Op.64 Nr.3 in A Flat,Waltz Op.64 No.3 in A Flat,Waltz Op.64 No.3 in A Flat,Waltz Op.64 No.3 in A Flat,Waltz Op.64 No.3 in A Flat,الفالسفيسلمميالمنخفض,Waltz Op.64 No.3 in A Flat,Waltz Op.64 No.3 in A Flat,
238,The Chatterbox Op.100 No.17,饶舌,饒舌,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 Nr.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,The Chatterbox Op.100 No.17,
239,Rondo in C Major WoO 48,C大调回旋曲,C大調迴旋曲,Rondo in C Major WoO 48,Rondo in C Major WoO 48,Рондо до мажор Ву 48,Rondo in C Major WoO 48,Rondo in C Major WoO 48,Rondo in C Major WoO 48,Rondo in C Major WoO 48,Rondo in C Major WoO 48,Rondo in C Major WoO 48,WoO48الروندوفيسلمدوالكبير,Rondo in C Major WoO 48,Rondo in C Major WoO 48,
240,Traum der Sennerin Op.45,高山少女之梦,高山少女之夢,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,Traum der Sennerin Op.45,
241,Valse Bleue,蓝色圆舞曲,藍色圓舞曲,Valse Bleue,Valse Bleue,Голубой вальс,Valse Bleue,Valse Bleue,Valse Bleue,Valse Bleue,Valse Bleue,Valse Bleue,الفالسالأزرق,Valse Bleue,Valse Bleue,
242,Love's Dream After the Ball,舞会后的爱之梦,舞會後的愛之夢,Love's Dream After the Ball,Love's Dream After the Ball,Сон любви после бала,Love's Dream After the Ball,Love's Dream After the Ball,무도회후의사랑의꿈,Love's Dream After the Ball,Love's Dream After the Ball,Love's Dream After the Ball,حلمالحببعدالكرة,Love's Dream After the Ball,Love's Dream After the Ball,
243,Fleurette-Romance Op.75 No.1,浪漫曲Op.75 No.1,浪漫曲Op. 75 No. 1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 Nr.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,Fleurette-Romance Op.75 No.1,
244,Le Rappel des oiseaux,鸟语啁啾,鳥語啁啾,Le Rappel des oiseaux,Le Rappel des oiseaux,Перекликание птиц,Le Rappel des oiseaux,Le Rappel des oiseaux,Le Rappel des oiseaux,Le Rappel des oiseaux,Le Rappel des oiseaux,Le Rappel des oiseaux,تذكيرالطيور,Le Rappel des oiseaux,Le Rappel des oiseaux,
245,Poupee valsante,洋娃娃的舞蹈,洋娃娃的舞蹈,Poupée valsante,Poupée valsante,Poupée valsante,Poupée valsante,Poupée valsante,춤추는인형,Poupée valsante,Poupée valsante,Poupée valsante,فالسدمية,Poupée valsante,Poupée valsante,
246,Bourree in G Major Op.1 No.5,布列舞曲,布列舞曲,Bourree in G Major Op.1 No.5,Bourree in G Major Op.1 No.5,Бурре соль мажор соч. 1 № 5,Bourree in G Major Op.1 No.5,Bourree in G Major Op.1 Nr.5,부레G장조Op.1 No.5,Bourree in G Major Op.1 No.5,Bourree in G Major Op.1 No.5,Bourree in G Major Op.1 No.5,Bourree in G Major Op.1 No.5,Bourree in G Major Op.1 No.5,Bourree in G Major Op.1 No.5,
247,The Chinese Serenade,中国小夜曲,中國小夜曲,The Chinese Serenade,The Chinese Serenade,Китайская серенада,The Chinese Serenade,The Chinese Serenade,The Chinese Serenade,The Chinese Serenade,The Chinese Serenade,The Chinese Serenade,اللحنالغراميالصيني,Çin Serenat,The Chinese Serenade,
248,Stephanie-Gavotte Op.312,斯泰普哈尼-加沃特,斯泰普哈尼-加沃特,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Стефани-Гавот Соч. 312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,Op.312ستيفاني-الرقصةالفرنسية,Stephanie-Gavotte Op.312,Stephanie-Gavotte Op.312,
249,Waltz Op.70 No.3 in D flat,圆舞曲Op.70 No.3,圓舞曲Op.70 No.3,Waltz Op.70 No.3 in D flat,Waltz Op.70 No.3 in D flat,"Вальс, соч. 70 № 3 в ре-бемоль",Waltz Op.70 No.3 in D flat,Waltz Op.70 Nr.3 in D flat,Waltz Op.70 No.3 in D flat,Waltz Op.70 No.3 in D flat,Waltz Op.70 No.3 in D flat,Waltz Op.70 No.3 in D flat,الفالسفيسلمريالمنخفض,Waltz Op.70 No.3 in D flat,Waltz Op.70 No.3 in D flat,
250,Douze Etudes de Salon Op.5 No.11,爱之歌,愛之歌,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Двенадцать Этюдов для Гостиной,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,Douze Etudes de Salon Op.5 No.11,
,Sonatina in D Op.168 No.5,小奏鸣曲 Op.168 No.5,小奏鳴曲Op.168 No.5,Sonatina in D Op.168 No.5,Sonatina en D Op. 168 Nº 5,"Сонатина ре, Op.168 No.5",Sonatina em D Op.168 N.º5,Sonatina in D Op.168 Nr.5,소나티나 D장조 Op.168 No.5,Sonatina in D Op.168 No.5,Sonatine en D Op.168 No.5,Sonatina in D Op.168 No.5,No.5 Op.168 السوناتينا في سلم ري,Sonatina in D Op.168 No.5,Sonatina in D Op.168 No.5,
,Polish Dance Op.3 No.1,波兰舞曲 Op.3 No.1,波蘭舞曲Op.3 No.1,Polish Dance Op.3 No.1,Polish Dance Op.3 Nº 1,"Польский танец, Op.3 No.1",Dança polonesa Op.3 N.º1,Polish Dance Op.3 Nr.1,Polish Dance Op.3 No.1,Polish Dance Op.3 No 1,Danses polonaises Op.3 No.1,Danza polacco Op.3 No.1,No.1 Op.3 الرقصة البولندية,Polonya Dansı Op.3 No.1,Polish Dance Op.3 No.1,
,The Turkish Patrol Op.83,土耳其巡逻兵,土耳其巡邏兵,The Turkish Patrol Op.83,Patrulla Turca Op. 83,"Турецкий патруль, Op.83",A Patrulha Turca Op.83,The Turkish Patrol Op.83,The Turkish Patrol Op.83,The Turkish Patrol Op.83,Patrouille turquoise Op. 83,La pattuglia turca Op.83,Op.83 الدورية التركية,Türk Devriyeleri Op.83,The Turkish Patrol Op.83,
,Souvenir de Porto Rico,波多黎各的回忆,波多黎各的回憶,Souvenir de Porto Rico,Souvenir de Porto Rico,Воспоминание о Пуэрто-Рико,Lembrança de Porto Rico,Souvenir de Porto Rico,Souvenir de Porto Rico,Souvenir de Porto Rico,Souvenir de Porto Rico,Souvenir de Porto Rico,Souvenir de Porto Rico,Souvenir de Porto Rico,Souvenir de Porto Rico,
,Minuetto,小步舞曲,小步舞曲,Minuetto,Minuetto,Минуэт,Minuetto,Minuetto,미뉴에트,Minuetto,Minuetto,Minuetto,مينوت,Minuetto,Minuetto,
,Trumpet Concerto Mvt.3,小号协奏曲 第三乐章,小號協奏曲 第三樂章,Trumpet Concerto Mvt.3,Concierto Trompeta Mvt. 3,Трубный концерт Mvt.3,Concerto de Trombeta Mvt.3,Trumpet Concerto Mvt.3,트럼펫 협주곡 Mvt.3,Trumpet Concerto Mvt.3,Trompette Concerto Mvt.3,Tromba Concerto Mvt.3,Trumpet Concerto Mvt.3,Trumpet Concerto Mvt.3,Trumpet Concerto Mvt.3,
,Arrival of the Queen of Sheba,希巴女王的到来,希巴女王的到來,Arrival of the Queen of Sheba,Llegada de la Reina de Sheba,Прибытие царицы Савской,Chegada da Rainha Sheba,Ankunft der Königin von Scheba,시바 여왕의 도착,Arrival of the Queen of Sheba,Arrivée d'impératrice Sheba,Arrivo della Regina di Saba,وصول ملكة سبأ,Sheba Kraliçesinin Gelişi,Arrival of the Queen of Sheba,
,Waltz Op.70 No.1,圆舞曲 Op.70 No.1,圓舞曲 Op.70 No.1,Waltz Op.70 No.1,Waltz Op.70 Nº 1,"Вальс, Op.70 No.1",Valsa Op.70 N.º1,Waltz Op.70 Nr.1,왈츠 Op.70 No.1,Waltz Op.70 No.1,Valse Op.70 No.1,Valzer Op.70 No.1,No.1 Op.70 الفالس,Waltz Op.70 No.1,Waltz Op.70 No.1,
,Polonaise Op.53,波罗乃兹 Op.53,波羅乃茲 Op.53,Polonaise Op.53,Polonaise Op.53,"Полонез, Op.53",Polonesa Op.53,Polonaise Op.53,폴로네즈 Op.53,Polonaise Op.53,Polonaise Op.53,Polacca Op.53,Op.53 الرقصة البولندية,Polonaise Op.53,Polonaise Op.53,
,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,Falling Falling,
,May I,May I,May I,May I,May I,May I,May I,May I,May I,May I,May I,May I,May I,May I,May I,
,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice,Berenice,
,Miss Fox,狐狸小姐,狐狸小姐,Miss Fox,Señorita Fox,Мисс Фокс,Senhorita Raposa,Miss Fox,Miss Fox,Miss Fox,Mademoiselle Fox,Signorina Volpe,السيدة الثعلب,Hanım efendi Tilki,Miss Fox,
,Crazy pharaoh,疯狂的法老,瘋狂的法老,Crazy pharaoh,Faraón loco,Сумасшедший фараон,Faraó louco,Crazy pharaoh,Crazy pharaoh,Crazy pharaoh,Pharaon fou,Faraone pazzo,الفرعون المجنون,Deli firavun,Crazy pharaoh,
,Witches and strange cat,巫婆和怪猫,巫婆和怪貓,Witches and strange cat,Bruja y gato raro,Ведьмы и странный кот,Bruxas e gato estranho,Witches and strange cat,Witches and strange cat,Witches and strange cat,Socière et chat étrange,Streghe e gatto strano,الساحرة والقطة الغريبة,Cadılar ve garip kedi,Witches and strange cat,
,Rosita Polka,玫瑰波尔卡,玫瑰波爾卡,Rosita Polka,Rosita Polka,Россита Полька,Rosita Polka,Rosita Polka,로시타 폴카,Rosita Polka,Rosita Polka,Rosita Polka,بولكا روزيتا,Rosita Polka,Rosita Polka,
,Franz Xaver Scharwenka,克萨韦尔·沙尔文卡,克薩韋爾·沙爾文卡,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Франц Ксавер Шарвенка,Franz Xaver Scharwenka,Franz Xaver Scharwenka,프란츠 크사버 샤르벤카,フランツ クサヴァー シャルヴェンカ,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,Franz Xaver Scharwenka,
,Theodor Michaelis,台奥多尔·米夏埃利斯,台奧多爾·米夏埃利斯,Theodor Michaelis,Theodor Michaelis,Теодор Михаэлис,Theodor Michaelis,Theodor Michaelis,Theodor Michaelis,テオドル・ミヒャエリス,Theodor Michaelis,Theodor Michaelis,ثيودور ميخاليس,Theodor Michaelis,Theodor Michaelis,
,Piece in F Major K.33b,F大调小品 K.33b,F大調小品 K.33b,Piece in F Major K.33b,Piece in F Major K.33b,Пьеса фа мажор K.33b,Piece in F Major K.33b,Piece in F Major K.33b,Piece in F Major K.33b,Piece in F Major K.33b,Piece in F Major K.33b,Piece in F Major K.33b,K.33b القطعة في سلم فا الكبير,Piece in F Major K.33b,Piece in F Major K.33b,
,Rondo in D K.485,D大调回旋曲 K.485,D大調迴旋曲 K.485,Rondo in D K.485,Rondo in D K.485,Рондо ре К. 485,Rondo in D K.485,Rondo in D K.485,론도 D 장조 K.485,Rondo in D K.485,Rondo in D K.485,Rondo in D K.485,K.485 الروندو في سلم الري,Rondo in D K.485,Rondo in D K.485,
,Menuet celebre Op.14 No.1,G大调小步舞曲 Op.14,G大調小步舞曲 Op.14,Menuet celebre Op.14 No.1,Menuet celebre Op.14 No.1,Менуэт селебр Op.14 No.1,Menuet celebre Op.14 No.1,Menuet celebre Op.14 Nr.1,Menuet celebre Op.14 No.1,Menuet celebre Op.14 No.1,Menuet celebre Op.14 No.1,Menuet celebre Op.14 No.1,No.1 Op.14 المينيويت المشهور,Menuet celebre Op.14 No.1,Menuet celebre Op.14 No.1,
,Fairy Waltz,仙女圆舞曲,仙女圓舞曲,Fairy Waltz,Fairy Waltz,Сказочный Вальс,Fairy Waltz,Fairy Waltz,페어리 왈츠,Fairy Waltz,Fairy Waltz,Fairy Waltz,فالس الجنية,Peri Waltz,Fairy Waltz,
,Sonata WoO 47 No.3 Mvt.1,D大调钢琴奏鸣曲第一章,D大調鋼琴奏鳴曲第一章,Sonata WoO 47 No.3 Mvt.1,Sonata WoO 47 No.3 Mvt.1,Соната WoO47 No.3 Mvt.1,Sonata WoO 47 No.3 Mvt.1,Sonata WoO47 No.3 Mvt.1,소나타 WoO.47 No.3 Mvt.1,Sonata WoO 47 No.3 Mvt.1,Sonata WoO 47 No.3 Mvt.1,Sonata WoO 47 No.3 Mvt.1,Mvt.1 No.3 WoO47 السوناتا,Sonata WoO47 No.3 Mvt.1,Sonata WoO47 No.3 Mvt.1,
,Nocturne in B Op.32 No.1,B大调夜曲 Op.32 No.1,B大調夜曲 Op.32 No.1,Nocturne in B Op.32 No.1,Nocturne in B Op.32 No.1,Ноктюрн Си Op.32 No.1,Nocturne in B Op.32 No.1,Nocturne in B Op.32 Nr.1,야상곡 B 장조 Op.32 No.1,Nocturne in B Op.32 No.1,Nocturne in B Op.32 No.1,Nocturne in B Op.32 No.1,Nocturne in B Op.32 No.1,Nocturne in B Op.32 No.1,Nocturne in B Op.32 No.1,
,Sonatina in B flat Op.168 No.4,降B大调奏鸣曲,降B大調奏鳴曲,Sonatina in B flat Op.168 No.4,Sonatina in B flat Op.168 No.4,Сонатина cи-бемоль Op.168 No.4,Sonatina in B flat Op.168 No.4,Sonatina in B flat Op.168 Nr.4,소나티네 B♭ 장조 Op.168 No.4,Sonatina in B flat Op.168 No.4,Sonatina in B flat Op.168 No.4,Sonatina in B flat Op.168 No.4,No.4 Op.168 السوناتينا في سلم سي,Sonatina in B flat Op.168 No.4,Sonatina in B flat Op.168 No.4,
,Two Caprices No.2,随想曲 No.2,隨想曲 No.2,Two Caprices No.2,Two Caprices No.2,Два Каприса No.2,Two Caprices No.2,Two Caprices Nr.2,Two Caprices No.2,Two Caprices No.2,Two Caprices No.2,Two Caprices No.2,No.2 اثنين من النزوات,İki Kapris No.2,Two Caprices No.2,
,Fantaisies Op.16 No.1,幻想曲 Op.16 No.1,幻想曲 Op.16 No.1,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,Фантазии в манере Op.16 No.1,Fantaisies Op.16 No.1,Fantaisies Op.16 Nr.1,판타지 Op.16 No.1,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,No.1 Op.16 الأوهام,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,
,Colonel Bogey March,波基上校进行曲,波基上校進行曲,Colonel Bogey March,Colonel Bogey March,Полковник Bogey March,Colonel Bogey March,Colonel Bogey March,보기 대령 행진곡,Colonel Bogey March,Colonel Bogey March,Colonel Bogey March,مسيرة كولونيل بوجي,Colonel Bogey March,Colonel Bogey March,
,Etude Op.109 No.10,快步 Op.109 No.10,快步 Op.109 No.10,Etude Op.109 No.10,Etude Op.109 No.10,Этюд Op.109 No.10,Etude Op.109 No.10,Etude Op.109 Nr.10,에튀드 Op.109 No.10,Etude Op.109 No.10,Etude Op.109 No.10,Etude Op.109 No.10,No.10 Op.109 القطعة الموسيقية,Etude Op.109 No.10,Etude Op.109 No.10,
,Pizzicato Polka Op.234,拨弦波尔卡,撥弦波爾卡,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Полька Пиццикато Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,피치카토 폴카 Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,
,Old French Song Op.39 No.16,古老的法国歌曲,古老的法國歌曲,Old French Song Op.39 No.16,Old French Song Op.39 No.16,Old French Song Op.39 No.16,Old French Song Op.39 No.16,Old French Song Op.39 Nr.16,Old French Song Op.39 No.16,Old French Song Op.39 No.16,Old French Song Op.39 No.16,Old French Song Op.39 No.16,No.16 Op.39 أغنية فرنسية قديمة,Eski Fransız Şarkı Op.39 No.16,Old French Song Op.39 No.16,
,Valse Ballet,芭蕾圆舞曲,芭蕾圓舞曲,Valse Ballet,Valse Ballet,Вальс Балет,Valse Ballet,Valse Ballet,Valse Ballet,Valse Ballet,Valse Ballet,Valse Ballet,فالس الباليه,Valse Bale,Valse Ballet,
,Bella Riva Op.87 - Mazurka,玛祖卡舞曲 Op.87,瑪祖卡舞曲 Op.87,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Белла Рива Op.87 - Мазурка,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - 마주르카,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,المازوركا - Op.87 بيلا ريفا,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,
,Pastoral,牧歌,牧歌,Pastoral,Pastoral,Пастораль,Pastoral,Pastoral,Pastoral,Pastoral,Pastoral,Pastoral,الراعي,Pastoral,Pastoral,
,Pepita Polka Op.138,佩皮塔波尔卡,佩皮塔波爾卡,Pepita Polka Op.138,Pepita Polka Op.138,Пепита полька Op.138,Pepita Polka Op.138,Pepita Polka Op.138,페피타 폴카 Op.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita Polka Op.138,
,Gavotte1,加沃特,加沃特,Gavotte,Gavotte,Гавот,Gavotte,Gavotte,Gavotte,Gavotte,Gavotte,Gavotte,رقصة الغافوتية,Gavotte,Gavotte,
,Berceuse,摇篮曲,搖籃曲,Berceuse,Berceuse,Колыбельная,Berceuse,Berceuse,Berceuse,Berceuse,Berceuse,Berceuse,Berceuse,Berceuse,Berceuse,
,The Chrysanthemum,菊花拉格泰姆,菊花拉格泰姆,The Chrysanthemum,The Chrysanthemum,Хризантемы,The Chrysanthemum,The Chrysanthemum,The Chrysanthemum,The Chrysanthemum,The Chrysanthemum,The Chrysanthemum,الاقحوان,The Chrysanthemum,The Chrysanthemum,
,Hexentanz Op.17 No.2,女巫之舞,女巫之舞,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz Op.17 Nr.2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,
,Concerto Grosso Op.6 No.9 IV.Gavotte,协奏曲 Op.6 No.9 - 加沃特,協奏曲 Op.6 No.9 - 加沃特,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,L'enjouee Op.109 No.6,
,L'enjouee Op.109 No.6,愉快的少女,愉快的少女,L'enjouee Op.109 No.6,L'enjouee Op.109 No.6,L'enjouee Op.109 No.6,L'enjouee Op.109 No.6,L'enjouee Op.109 Nr.6,L'enjouee Op.109 No.6,L'enjouee Op.109 No.6,L'enjouee Op.109 No.6,L'enjouee Op.109 No.6,No.6 Op.109 الغفريت,L'enjouee Op.109 No.6,L'enjouee Op.109 No.6,
,Quartet in C Major WoO 36 No.3,C大调四重奏 WoO 36 No.3,C大調四重奏 WoO 36 No.3,Quartet in C Major WoO 36 No.3,Quartet in C Major WoO 36 No.3,Квартет до мажор WoO 36 No.3,Quartet in C Major WoO 36 No.3,Quartet in C Major WoO 36 Nr.3,Quartet in C Major WoO 36 No.3,Quartet in C Major WoO 36 No.3,Quartet in C Major WoO 36 No.3,Quartet in C Major WoO 36 No.3,Quartet in C Major WoO 36 No.3,Quartet in C Major WoO 36 No.3,Quartet in C Major WoO 36 No.3,
,The Time We Spent Together,在一起的时光,在一起的時光,The Time We Spent Together,The Time We Spent Together,"Время, проведенное вместе",The Time We Spent Together,The Time We Spent Together,The Time We Spent Together,The Time We Spent Together,The Time We Spent Together,The Time We Spent Together,الأوقات التي نقضى معا,The Time We Spent Together,The Time We Spent Together,
,Traceless Star,星无痕,星無痕,Traceless Star,Traceless Star,Бесследная звезда,Traceless Star,Traceless Star,Traceless Star,Traceless Star,Traceless Star,Traceless Star,Traceless Star,İzsiz Yıldız,Bintang tiada Jejak,
